network_id,iteration,num_agents,skill_type,source,target,weight
1,1,50,S++,S++_1,S++_12,10.0
1,1,50,S++,S++_1,S++_14,10.0
1,1,50,S++,S++_1,S++_18,10.0
1,1,50,S++,S++_1,S++_24,10.0
1,1,50,S++,S++_1,S++_26,10.0
1,1,50,S++,S++_1,S++_33,10.0
1,1,50,S++,S++_1,S++_6,10.0
1,1,50,S++,S++_1,S++_44,10.0
1,1,50,S++,S++_1,S++_45,10.0
1,1,50,S++,S++_2,S++_39,9.7
1,1,50,S++,S++_2,S++_11,10.0
1,1,50,S++,S++_2,S++_25,10.0
1,1,50,S++,S++_2,S++_33,10.0
1,1,50,S++,S++_2,S++_41,10.0
1,1,50,S++,S++_2,S++_6,10.0
1,1,50,S++,S++_2,S++_49,10.0
1,1,50,S++,S++_3,S++_11,10.0
1,1,50,S++,S++_3,S++_21,10.0
1,1,50,S++,S++_3,S++_22,10.0
1,1,50,S++,S++_3,S++_24,10.0
1,1,50,S++,S++_3,S++_17,10.0
1,1,50,S++,S++_3,S++_32,10.0
1,1,50,S++,S++_3,S++_33,10.0
1,1,50,S++,S++_3,S++_35,10.0
1,1,50,S++,S++_3,S++_40,10.0
1,1,50,S++,S++_4,S++_7,10.0
1,1,50,S++,S++_4,S++_27,10.0
1,1,50,S++,S++_4,S++_31,10.0
1,1,50,S++,S++_4,S++_46,10.0
1,1,50,S++,S++_4,S++_5,10.0
1,1,50,S++,S++_4,S++_8,10.0
1,1,50,S++,S++_4,S++_15,10.0
1,1,50,S++,S++_4,S++_45,10.0
1,1,50,S++,S++_5,S++_15,10.0
1,1,50,S++,S++_5,S++_10,10.0
1,1,50,S++,S++_5,S++_14,10.0
1,1,50,S++,S++_5,S++_18,10.0
1,1,50,S++,S++_5,S++_24,10.0
1,1,50,S++,S++_5,S++_26,10.0
1,1,50,S++,S++_5,S++_31,10.0
1,1,50,S++,S++_5,S++_35,10.0
1,1,50,S++,S++_6,S++_10,10.0
1,1,50,S++,S++_6,S++_21,10.0
1,1,50,S++,S++_6,S++_28,10.0
1,1,50,S++,S++_6,S++_48,10.0
1,1,50,S++,S++_6,S++_17,10.0
1,1,50,S++,S++_6,S++_25,10.0
1,1,50,S++,S++_6,S++_34,10.0
1,1,50,S++,S++_6,S++_49,10.0
1,1,50,S++,S++_7,S++_9,10.0
1,1,50,S++,S++_7,S++_11,10.0
1,1,50,S++,S++_7,S++_17,10.0
1,1,50,S++,S++_7,S++_22,10.0
1,1,50,S++,S++_7,S++_30,10.0
1,1,50,S++,S++_7,S++_45,10.0
