network_id,iteration,num_agents,skill_type,source,target,weight
1,1,50,S,S_1,S_33,10
1,1,50,S,S_1,S_49,10
1,1,50,S,S_1,S_3,10
1,1,50,S,S_1,S_19,10
1,1,50,S,S_1,S_32,10
1,1,50,S,S_2,S_32,10
1,1,50,S,S_2,S_47,10
1,1,50,S,S_2,S_19,10
1,1,50,S,S_2,S_26,10
1,1,50,S,S_2,S_44,10
1,1,50,S,S_3,S_6,10
1,1,50,S,S_3,S_50,10
1,1,50,S,S_3,S_16,10
1,1,50,S,S_3,S_42,10
1,1,50,S,S_3,S_49,10
1,1,50,S,S_4,S_26,10
1,1,50,S,S_4,S_34,10
1,1,50,S,S_4,S_40,10
1,1,50,S,S_4,S_41,10
1,1,50,S,S_4,S_43,10
1,1,50,S,S_4,S_18,10
1,1,50,S,S_5,S_13,10
1,1,50,S,S_5,S_33,10
1,1,50,S,S_5,S_43,10
1,1,50,S,S_5,S_38,10
1,1,50,S,S_5,S_50,10
1,1,50,S,S_6,S_27,10
1,1,50,S,S_6,S_19,10
1,1,50,S,S_6,S_34,10
1,1,50,S,S_7,S_40,10
1,1,50,S,S_7,S_23,10
1,1,50,S,S_7,S_41,10
1,1,50,S,S_7,S_42,10
1,1,50,S,S_7,S_45,10
1,1,50,S,S_7,S_48,10
1,1,50,S,S_8,S_14,10
1,1,50,S,S_8,S_35,10
1,1,50,S,S_8,S_45,10
1,1,50,S,S_8,S_12,10
1,1,50,S,S_8,S_37,10
1,1,50,S,S_8,S_43,10
1,1,50,S,S_9,S_33,10
1,1,50,S,S_10,S_15,10
1,1,50,S,S_10,S_25,10
1,1,50,S,S_10,S_30,10
1,1,50,S,S_10,S_22,10
1,1,50,S,S_10,S_36,10
1,1,50,S,S_10,S_38,10
1,1,50,S,S_11,S_15,10
1,1,50,S,S_11,S_19,10
1,1,50,S,S_11,S_27,10
1,1,50,S,S_11,S_34,10
1,1,50,S,S_11,S_50,10
1,1,50,S,S_11,S_24,10
1,1,50,S,S_11,S_30,10
1,1,50,S,S_12,S_49,10
1,1,50,S,S_12,S_27,10
1,1,50,S,S_12,S_28,10
1,1,50,S,S_12,S_43,10
1,1,50,S,S_12,S_50,10
1,1,50,S,S_13,S_30,9.7
1,1,50,S,S_13,S_26,10
1,1,50,S,S_13,S_41,10
1,1,50,S,S_13,S_20,10
1,1,50,S,S_14,S_22,10
1,1,50,S,S_15,S_19,10
1,1,50,S,S_15,S_21,10
1,1,50,S,S_15,S_26,10
1,1,50,S,S_15,S_31,10
1,1,50,S,S_15,S_46,10
1,1,50,S,S_15,S_47,10
1,1,50,S,S_15,S_27,10
1,1,50,S,S_15,S_30,10
1,1,50,S,S_16,S_17,10
1,1,50,S,S_16,S_34,10
1,1,50,S,S_17,S_27,10
1,1,50,S,S_17,S_39,10
1,1,50,S,S_17,S_42,10
1,1,50,S,S_17,S_34,10
1,1,50,S,S_17,S_46,10
1,1,50,S,S_18,S_45,10
1,1,50,S,S_18,S_26,10
1,1,50,S,S_18,S_28,10
1,1,50,S,S_18,S_40,10
1,1,50,S,S_19,S_23,10
1,1,50,S,S_19,S_43,10
1,1,50,S,S_19,S_44,10
1,1,50,S,S_19,S_49,10
1,1,50,S,S_19,S_20,10
1,1,50,S,S_19,S_31,10
1,1,50,S,S_20,S_28,10
1,1,50,S,S_20,S_48,10
1,1,50,S,S_21,S_30,10
1,1,50,S,S_21,S_38,10
1,1,50,S,S_21,S_24,10
1,1,50,S,S_21,S_35,10
1,1,50,S,S_22,S_24,10
1,1,50,S,S_22,S_25,10
1,1,50,S,S_22,S_37,10
1,1,50,S,S_22,S_42,10
1,1,50,S,S_22,S_38,10
1,1,50,S,S_23,S_27,10
1,1,50,S,S_23,S_31,10
1,1,50,S,S_23,S_36,10
1,1,50,S,S_23,S_38,10
1,1,50,S,S_24,S_27,10
1,1,50,S,S_24,S_29,10
1,1,50,S,S_24,S_39,10
1,1,50,S,S_25,S_44,10
1,1,50,S,S_25,S_49,10
1,1,50,S,S_25,S_31,10
1,1,50,S,S_25,S_36,10
1,1,50,S,S_25,S_38,10
1,1,50,S,S_26,S_32,10
1,1,50,S,S_27,S_29,10
1,1,50,S,S_27,S_46,10
1,1,50,S,S_27,S_50,10
1,1,50,S,S_28,S_48,10
1,1,50,S,S_28,S_37,10
