network_id,iteration,num_agents,skill_type,source,target,weight
1,1,75,S++,S++_1,S++_15,10
1,1,75,S++,S++_1,S++_37,10
1,1,75,S++,S++_1,S++_40,10
1,1,75,S++,S++_1,S++_57,10
1,1,75,S++,S++_1,S++_67,10
1,1,75,S++,S++_1,S++_70,10
1,1,75,S++,S++_1,S++_72,10
1,1,75,S++,S++_1,S++_73,10
1,1,75,S++,S++_1,S++_75,10
1,1,75,S++,S++_1,S++_16,10
1,1,75,S++,S++_1,S++_44,10
1,1,75,S++,S++_1,S++_48,10
1,1,75,S++,S++_2,S++_6,10
1,1,75,S++,S++_2,S++_31,10
1,1,75,S++,S++_2,S++_39,10
1,1,75,S++,S++_2,S++_42,10
1,1,75,S++,S++_2,S++_43,10
1,1,75,S++,S++_2,S++_47,10
1,1,75,S++,S++_2,S++_60,10
1,1,75,S++,S++_2,S++_17,10
1,1,75,S++,S++_2,S++_34,10
1,1,75,S++,S++_2,S++_44,10
1,1,75,S++,S++_2,S++_67,10
1,1,75,S++,S++_2,S++_68,10
1,1,75,S++,S++_2,S++_72,10
1,1,75,S++,S++_3,S++_25,10
1,1,75,S++,S++_3,S++_28,10
1,1,75,S++,S++_3,S++_29,10
1,1,75,S++,S++_3,S++_42,10
1,1,75,S++,S++_3,S++_50,10
1,1,75,S++,S++_3,S++_68,10
1,1,75,S++,S++_3,S++_6,10
1,1,75,S++,S++_3,S++_65,10
1,1,75,S++,S++_4,S++_38,10
1,1,75,S++,S++_4,S++_42,10
1,1,75,S++,S++_4,S++_66,10
1,1,75,S++,S++_4,S++_29,10
1,1,75,S++,S++_5,S++_25,10
1,1,75,S++,S++_5,S++_33,10
1,1,75,S++,S++_5,S++_42,10
1,1,75,S++,S++_5,S++_63,10
1,1,75,S++,S++_5,S++_73,10
1,1,75,S++,S++_5,S++_9,10
1,1,75,S++,S++_5,S++_30,10
1,1,75,S++,S++_5,S++_40,10
1,1,75,S++,S++_5,S++_45,10
1,1,75,S++,S++_5,S++_75,10
1,1,75,S++,S++_6,S++_17,10
1,1,75,S++,S++_6,S++_34,10
1,1,75,S++,S++_6,S++_43,10
1,1,75,S++,S++_6,S++_55,10
1,1,75,S++,S++_6,S++_75,10
1,1,75,S++,S++_6,S++_7,10
1,1,75,S++,S++_6,S++_50,10
1,1,75,S++,S++_7,S++_16,10
1,1,75,S++,S++_7,S++_18,10
1,1,75,S++,S++_7,S++_38,10
1,1,75,S++,S++_7,S++_49,10
1,1,75,S++,S++_7,S++_55,10
1,1,75,S++,S++_7,S++_13,10
1,1,75,S++,S++_7,S++_60,10
1,1,75,S++,S++_7,S++_68,10
1,1,75,S++,S++_8,S++_38,10
1,1,75,S++,S++_8,S++_39,10
1,1,75,S++,S++_8,S++_49,10
1,1,75,S++,S++_8,S++_57,10
1,1,75,S++,S++_8,S++_73,10
1,1,75,S++,S++_8,S++_15,10
1,1,75,S++,S++_8,S++_40,10
1,1,75,S++,S++_8,S++_48,10
1,1,75,S++,S++_8,S++_54,10
1,1,75,S++,S++_8,S++_75,10
1,1,75,S++,S++_9,S++_24,10
1,1,75,S++,S++_9,S++_28,10
1,1,75,S++,S++_9,S++_46,10
1,1,75,S++,S++_9,S++_25,10
1,1,75,S++,S++_9,S++_54,10
1,1,75,S++,S++_9,S++_62,10
1,1,75,S++,S++_9,S++_63,10
1,1,75,S++,S++_9,S++_69,10
1,1,75,S++,S++_10,S++_12,10
1,1,75,S++,S++_10,S++_34,10
1,1,75,S++,S++_10,S++_42,10
1,1,75,S++,S++_10,S++_63,10
1,1,75,S++,S++_10,S++_74,10
1,1,75,S++,S++_11,S++_25,10
1,1,75,S++,S++_11,S++_27,10
1,1,75,S++,S++_11,S++_52,10
1,1,75,S++,S++_11,S++_56,10
1,1,75,S++,S++_11,S++_63,10
1,1,75,S++,S++_11,S++_42,10
1,1,75,S++,S++_11,S++_43,10
1,1,75,S++,S++_11,S++_54,10
