num_agents,skill_type,network,cooperation_proportion
400,S++,1,0
400,S++,1,0.33942632170978626
400,S++,1,0.4634385895987821
400,S++,1,0.36914321541392364
400,S++,1,0.4050336977201638
400,S++,1,0.42968979763321896
400,S++,1,0.39230639825043456
400,S++,1,0.36962964044320523
400,S++,1,0.38319960036217177
400,S++,1,0.3759383310330898
400,S++,1,0.40044830484729615
400,S++,1,0.3738523078198512
400,S++,1,0.34900864260294867
400,S++,1,0.33392535392535394
400,S++,1,0.4085156339480014
400,S++,1,0.3447806545546623
400,S++,1,0.32105281433383104
400,S++,1,0.41637024001198186
400,S++,1,0.42181591522958656
400,S++,1,0.35445259415920444
400,S++,1,0.4288514308114465
400,S++,1,0.4376062022090059
400,S++,1,0.38038590699527575
400,S++,1,0.3669322951517732
400,S++,1,0.2619830978646539
400,S++,1,0.36869367771233946
400,S++,1,0.44734789391575663
400,S++,1,0.30529363110008273
400,S++,1,0.39559646273235877
400,S++,1,0.4797602672430733
400,S,1,0
400,S,1,0.1964550853749072
400,S,1,0.2084087500646429
400,S,1,0.19195046439628483
400,S,1,0.18010618050686167
400,S,1,0.19110536376925671
400,S,1,0.21397606764115792
400,S,1,0.24512806769018722
400,S,1,0.22243362831858407
400,S,1,0.19944058097462086
400,S,1,0.17668273066734752
400,S,1,0.21995959595959597
400,S,1,0.17657192075796727
400,S,1,0.2510626628273687
400,S,1,0.21373056994818654
400,S,1,0.11419269263234053
400,S,1,0.23285322359396435
400,S,1,0.29584527220630374
400,S,1,0.21525964606904555
400,S,1,0.2126727334007415
400,S,1,0.18946850393700787
400,S,1,0.23943661971830985
400,S,1,0.1671361502347418
400,S,1,0
400,S,1,0.22446043165467625
400,S,1,0.033126293995859216
400,S,1,0
400,S,1,0
400,S,1,0
400,S,1,0
400,br2,1,0
400,br2,1,0.25262163438828533
400,br2,1,0.23639658296660626
400,br2,1,0.29400052226139184
400,br2,1,0.24511196524064172
400,br2,1,0.28124381065557535
400,br2,1,0.27870715232624205
400,br2,1,0.24581269964676256
